Instance	BKS	LB	opt/bks
H5-l5-c4-ar39-P1_102.txt	37762	32371	bks
H5-l5-c4-ar39-P1_151.txt	33757	28150	bks
H5-l5-c4-ar39-P1_152.txt	37152	32260	bks
H5-l5-c4-ar39-P1_51.txt	32526	28580	bks
H5-l5-c4-ar39-P1_52.txt	36569	32352	bks
H5-l6-c5-ar26-P1_101.txt	34979	30768	bks
H5-l6-c5-ar26-P1_102.txt	46115	38078	bks
H5-l6-c5-ar26-P1_151.txt	37098	30812	bks
H5-l6-c5-ar26-P1_152.txt	46250	38195	bks
H5-l6-c5-ar26-P1_51.txt	36329	30979	bks
H5-l6-c5-ar26-P1_52.txt	45137	39218	bks
P19110_101.txt	39907	33445	bks
P19110_102.txt	49342	40181	bks
P19110_151.txt	40444	33175	bks
P19110_152.txt	49383	39735	bks
P19110_51.txt	38215	33563	bks
P19110_52.txt	47490	40464	bks
P142200_101.txt	39414	30809	bks
P142200_102.txt	44527	34564	bks
P142200_151.txt	39761	31793	bks
P142200_152.txt	44824	34474	bks
P142200_51.txt	38757	32831	bks
P142200_52.txt	43064	35883	bks
P162100_101.txt	39313	32147	bks
P162100_102.txt	48345	39472	bks
P162100_151.txt	39461	31306	bks
P162100_152.txt	49230	39436	bks
P162100_51.txt	38374	33218	bks
P162100_52.txt	47017	40001	bks
H5-l8-c10-ar13-P1_101.txt	46990	36477	bks
H5-l8-c10-ar13-P1_102.txt	49976	40694	bks
H5-l8-c10-ar13-P1_151.txt	47244	36272	bks
H5-l8-c10-ar13-P1_152.txt	49008	40067	bks
H5-l8-c10-ar13-P1_51.txt	46346	38604	bks
H5-l8-c10-ar13-P1_52.txt	47230	39326	bks
H5-l6-c5-ar39-P1_101.txt	51389	40595	bks
H5-l6-c5-ar39-P1_102.txt	50221	40157	bks
H5-l6-c5-ar39-P1_151.txt	50935	40634	bks
H5-l6-c5-ar39-P1_152.txt	51019	41113	bks
H5-l6-c5-ar39-P1_51.txt	51671	42467	bks
H5-l6-c5-ar39-P1_52.txt	51521	42842	bks
HG121_101.txt	51812	41610	bks
HG121_102.txt	49878	40150	bks
HG121_151.txt	50067	40366	bks
HG121_152.txt	50610	40630	bks
HG121_51.txt	50803	41929	bks
HG121_52.txt	49718	42167	bks
HG315_101.txt	51105	39734	bks
HG315_102.txt	51245	40250	bks
HG315_151.txt	50541	39005	bks
HG315_152.txt	52028	39636	bks
HG315_51.txt	50605	40657	bks
HG315_52.txt	50882	42003	bks
H5-l7-c7-ar26-P1_101.txt	52840	39886	bks
H5-l7-c7-ar26-P1_102.txt	51318	38501	bks
H5-l7-c7-ar26-P1_151.txt	52472	39180	bks
H5-l7-c7-ar26-P1_152.txt	50816	37497	bks
H5-l7-c7-ar26-P1_51.txt	52372	41455	bks
H5-l7-c7-ar26-P1_52.txt	51613	39770	bks
H5-l11-c9-ar13-P1_101.txt	46795	34843	bks
H5-l11-c9-ar13-P1_102.txt	49700	38841	bks
H5-l11-c9-ar13-P1_151.txt	49283	36538	bks
H5-l11-c9-ar13-P1_152.txt	49740	37988	bks
H5-l11-c9-ar13-P1_51.txt	46660	35522	bks
H5-l11-c9-ar13-P1_52.txt	49811	39879	bks
HD122_101.txt	52224	38309	bks
HD122_102.txt	51343	40017	bks
HD122_151.txt	52361	37932	bks
HD122_152.txt	52298	40099	bks
HD122_51.txt	51709	39735	bks
HD122_52.txt	52216	41897	bks
P2018_101.txt	51826	40308	bks
P2018_102.txt	52032	40229	bks
P2018_151.txt	52000	38544	bks
P2018_152.txt	51877	40095	bks
P2018_51.txt	52856	41959	bks
P2018_52.txt	51592	41225	bks
H5-l7-c7-ar39-P1_101.txt	51909	37091	bks
H5-l7-c7-ar39-P1_102.txt	51945	37067	bks
H5-l7-c7-ar39-P1_151.txt	51724	36786	bks
H5-l7-c7-ar39-P1_152.txt	51971	37641	bks
H5-l7-c7-ar39-P1_51.txt	52084	38856	bks
H5-l7-c7-ar39-P1_52.txt	51848	39209	bks
P222500_101.txt	52814	41046	bks
P222500_102.txt	52040	40063	bks
P222500_151.txt	52379	40212	bks
P222500_152.txt	51818	40169	bks
P222500_51.txt	52551	42465	bks
P222500_52.txt	52509	42628	bks
H5-l8-c10-ar26-P1_101.txt	52216	36833	bks
H5-l8-c10-ar26-P1_102.txt	51398	38048	bks
H5-l8-c10-ar26-P1_151.txt	51622	36520	bks
H5-l8-c10-ar26-P1_152.txt	51413	35456	bks
H5-l8-c10-ar26-P1_51.txt	52379	40106	bks
H5-l8-c10-ar26-P1_52.txt	51929	40466	bks
H5-l11-c9-ar26-P1_101.txt	53308	35709	bks
H5-l11-c9-ar26-P1_102.txt	52254	36834	bks
H5-l11-c9-ar26-P1_151.txt	52736	35416	bks
H5-l11-c9-ar26-P1_152.txt	51986	35845	bks
H5-l11-c9-ar26-P1_51.txt	52502	37334	bks
H5-l11-c9-ar26-P1_52.txt	52986	39290	bks
H5-l8-c10-ar39-P1_101.txt	52385	37021	bks
H5-l8-c10-ar39-P1_102.txt	52159	36034	bks
H5-l8-c10-ar39-P1_151.txt	52177	36487	bks
H5-l8-c10-ar39-P1_152.txt	51616	35647	bks
H5-l8-c10-ar39-P1_51.txt	52297	38300	bks
H5-l8-c10-ar39-P1_52.txt	53646	38424	bks
H5-l11-c9-ar39-P1_101.txt	51917	38111	bks
H5-l11-c9-ar39-P1_102.txt	53208	39002	bks
H5-l11-c9-ar39-P1_151.txt	52860	 -	bks
H5-l11-c9-ar39-P1_152.txt	52502	 -	bks
H5-l11-c9-ar39-P1_51.txt	52361	39903	bks
H5-l11-c9-ar39-P1_52.txt	52423	39321	bks
